account_id,attention_priority,value_tier,gmv_total_6m,action_segment,primary_nba,nba_reason_code,execution_status,action_state,owner_role,named_owner_required,notify_am_before_send,playbook_id,recommended_channel,first_action,follow_up_days,success_condition,stop_condition,escalation_condition,guardrail_codes,draft_status,message_template_id,draft_customer_message,internal_task_brief,secondary_test,secondary_test_arm,secondary_test_draft,nurture_subcontext,recent_activity_status,lifecycle_context,rising_tail_watchlist,phase1_rollout_status,buyer_cadence,migration_progress_status,next_rerun_behaviour,change_type,change_flags,generated_action
ACC-001,P2,Key,170132,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_KEY_SIGNOFF,Human Sign-Off Required,Awaiting Sign-Off,Portfolio Lead + Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Portfolio Lead + AM sign-off decision on a gradual self-serve shift.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,KEY_SIGNOFF; BORDERLINE_MOMENTUM; FEB_SENSITIVE,Withheld until sign-off is recorded,,,"WHY NOW: Key broker-reliant account with healthy spend; downside risk too large for automated initiation.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £170,132 6m GMV; Retailer, United Kingdom; tenure 26 months.
- Momentum: Stable (Sep-Nov £93,545 -> Dec-Feb £76,587); Recently Active (last GMV month: February); 46 orders over 6 month(s).
- Dependency: High (broker reliance 69%; 32 AM-placed / 14 self-serve orders).
- Engagement: 2 product views, 3 app days, 0 offer(s), 139 Fleek chats, 3 video requests; basket Mixed.
- Warnings: KEY_SIGNOFF; BORDERLINE_MOMENTUM; FEB_SENSITIVE.
WHAT TO DO: Portfolio Lead and AM decide whether a gradual self-serve shift is appropriate. Record approve / decline and conditions.
WHAT NOT TO DO: No migration communication before sign-off.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,0fcb61d89d13
ACC-002,P1,Key,70650,3. Win-Back / Verify,Verify Demand / Win-Back,LAPSED_THIN_HISTORY,Ready — Human,Draft Ready,Account Manager,False,False,PB02_VERIFY_WINBACK,"Personal email from AM, then call","Send cadence check-in (verify, don't assume churn).",14,"Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",Customer confirms infrequent/seasonal buying (set a reminder for their window) or confirms churn (log reason).,Key account with no response after 2 attempts -> Portfolio Lead.,MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft ready (not sent),VERIFY_CADENCE,"Hi {first_name},

Thanks for your previous orders with Fleek. I wanted to check how you usually plan your stock buying (seasonal, project by project, or ongoing) so we can get in touch at the right moments rather than too often. Happy to talk on a quick call, or just reply here with what works for you.

Best,
{sender_name}","WHY NOW: Apparent lapse rests on 1-2 orders or one buying month; cadence is unknown.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £70,650 6m GMV; Reseller, United States; tenure 10 months.
- Momentum: Lapsed; No Meaningful History (last GMV month: October); 2 orders over 2 month(s).
- Dependency: High (broker reliance 70%; 1 AM-placed / 1 self-serve orders).
- Engagement: 6 product views, 2 app days, 2 offer(s), 12 Fleek chats, 0 video requests; basket Handpick-only.
- Warnings: MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE.
WHAT TO DO: Do not assume churn. Verify expected purchase frequency first, then set the next contact window.
WHAT NOT TO DO: Do not treat as churn or run a discount-led win-back.
SUCCESS: Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",,,,,No Meaningful History,Existing Customer,False,Not Eligible,Lumpy,N/A,"If an order appears, the account re-segments automatically; if confirmed seasonal, suppress re-contact until the stated window.",BASELINE,BASELINE,ad531f2937d6
ACC-003,P2,Key,41039,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_KEY_SIGNOFF,Human Sign-Off Required,Awaiting Sign-Off,Portfolio Lead + Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Portfolio Lead + AM sign-off decision on a gradual self-serve shift.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,KEY_SIGNOFF; BORDERLINE_MOMENTUM; FEB_SENSITIVE,Withheld until sign-off is recorded,,,"WHY NOW: Key broker-reliant account with healthy spend; downside risk too large for automated initiation.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £41,039 6m GMV; Reseller, Germany; tenure 16 months.
- Momentum: Stable (Sep-Nov £22,792 -> Dec-Feb £18,249); Recently Active (last GMV month: February); 36 orders over 6 month(s).
- Dependency: High (broker reliance 74%; 27 AM-placed / 9 self-serve orders).
- Engagement: 5 product views, 1 app days, 2 offer(s), 129 Fleek chats, 18 video requests; basket Mixed.
- Warnings: KEY_SIGNOFF; BORDERLINE_MOMENTUM; FEB_SENSITIVE.
WHAT TO DO: Portfolio Lead and AM decide whether a gradual self-serve shift is appropriate. Record approve / decline and conditions.
WHAT NOT TO DO: No migration communication before sign-off.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,540a58c7127b
ACC-004,P2,Key,27099,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_KEY_SIGNOFF,Human Sign-Off Required,Awaiting Sign-Off,Portfolio Lead + Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Portfolio Lead + AM sign-off decision on a gradual self-serve shift.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,KEY_SIGNOFF; BORDERLINE_MOMENTUM,Withheld until sign-off is recorded,,,"WHY NOW: Key broker-reliant account with healthy spend; downside risk too large for automated initiation.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £27,099 6m GMV; Reseller, Australia; tenure 22 months.
- Momentum: Stable (Sep-Nov £14,705 -> Dec-Feb £12,395); Recently Active (last GMV month: February); 19 orders over 6 month(s).
- Dependency: High (broker reliance 62%; 12 AM-placed / 7 self-serve orders).
- Engagement: 3 product views, 8 app days, 2 offer(s), 20 Fleek chats, 1 video requests; basket Handpick-only.
- Warnings: KEY_SIGNOFF; BORDERLINE_MOMENTUM.
WHAT TO DO: Portfolio Lead and AM decide whether a gradual self-serve shift is appropriate. Record approve / decline and conditions.
WHAT NOT TO DO: No migration communication before sign-off.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,08d49164fd60
ACC-005,P0,Key,24555,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,HOLD — Critical Data Issue,On Hold,Portfolio Lead,False,False,PB01_RETENTION,"Personal email from AM, then call",Portfolio Lead resolves the Duplicate status; no contact until cleared.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",CRITICAL_DATA_BLOCKER,Withheld: account on HOLD (critical data issue),,,"WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £24,555 6m GMV; Retailer, United Kingdom; tenure 41 months.
- Momentum: Declining (Sep-Nov £17,529 -> Dec-Feb £7,025); Recently Active (last GMV month: February); 14 orders over 5 month(s).
- Dependency: Medium (broker reliance 50%; 7 AM-placed / 7 self-serve orders).
- Engagement: 10 product views, 8 app days, 1 offer(s), 100 Fleek chats, 0 video requests; basket Mixed.
- Warnings: CRITICAL_DATA_BLOCKER.
WHAT TO DO: Resolve the Duplicate status (find/merge the matching record, confirm GMV is not double-counted) before any contact. Underlying action once cleared: Retention Conversation.
WHAT NOT TO DO: No outbound communication while on HOLD.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,5b28ca9bd14c
ACC-006,P2,Key,23205,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_KEY_SIGNOFF,Human Sign-Off Required,Awaiting Sign-Off,Portfolio Lead + Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Portfolio Lead + AM sign-off decision on a gradual self-serve shift.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,KEY_SIGNOFF,Withheld until sign-off is recorded,,,"WHY NOW: Key broker-reliant account with healthy spend; downside risk too large for automated initiation.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £23,205 6m GMV; Reseller, Germany; tenure 7 months.
- Momentum: Growing (Sep-Nov £8,249 -> Dec-Feb £14,956); Recently Active (last GMV month: February); 14 orders over 5 month(s).
- Dependency: High (broker reliance 84%; 12 AM-placed / 2 self-serve orders).
- Engagement: 8 product views, 3 app days, 1 offer(s), 115 Fleek chats, 24 video requests; basket Handpick-only.
- Warnings: KEY_SIGNOFF.
WHAT TO DO: Portfolio Lead and AM decide whether a gradual self-serve shift is appropriate. Record approve / decline and conditions.
WHAT NOT TO DO: No migration communication before sign-off.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,e3d57b7950e8
ACC-007,P2,Key,22089,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_KEY_SIGNOFF,Human Sign-Off Required,Awaiting Sign-Off,Portfolio Lead + Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Portfolio Lead + AM sign-off decision on a gradual self-serve shift.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,KEY_SIGNOFF,Withheld until sign-off is recorded,,,"WHY NOW: Key broker-reliant account with healthy spend; downside risk too large for automated initiation.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £22,089 6m GMV; Reseller, Austria; tenure 10 months.
- Momentum: Growing (Sep-Nov £5,524 -> Dec-Feb £16,565); Recently Active (last GMV month: February); 23 orders over 5 month(s).
- Dependency: High (broker reliance 72%; 17 AM-placed / 6 self-serve orders).
- Engagement: 1 product views, 1 app days, 0 offer(s), 69 Fleek chats, 2 video requests; basket Mixed.
- Warnings: KEY_SIGNOFF.
WHAT TO DO: Portfolio Lead and AM decide whether a gradual self-serve shift is appropriate. Record approve / decline and conditions.
WHAT NOT TO DO: No migration communication before sign-off.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,5d2eb2a4b67f
ACC-008,P1,Key,19265,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",H2_SINGLE_MONTH_SPIKE,Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (bundles and handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £19,265 6m GMV; Retailer, Sweden; tenure 15 months.
- Momentum: Declining (Sep-Nov £12,458 -> Dec-Feb £6,808); Recently Active (last GMV month: February); 16 orders over 5 month(s).
- Dependency: High (broker reliance 84%; 13 AM-placed / 3 self-serve orders).
- Engagement: 13 product views, 4 app days, 0 offer(s), 29 Fleek chats, 1 video requests; basket Mixed.
- Warnings: H2_SINGLE_MONTH_SPIKE.
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,bbf41110e504
ACC-009,P1,Key,18652,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",,Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (bundles and handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £18,652 6m GMV; Reseller, United Kingdom; tenure 8 months.
- Momentum: Declining (Sep-Nov £12,807 -> Dec-Feb £5,845); Recently Active (last GMV month: February); 35 orders over 6 month(s).
- Dependency: High (broker reliance 68%; 24 AM-placed / 11 self-serve orders).
- Engagement: 2 product views, 1 app days, 1 offer(s), 30 Fleek chats, 0 video requests; basket Mixed.
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,14b26d9cbee4
ACC-010,P1,Key,17026,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",,Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Key, Broker-Reliant, Account Managed; £17,026 6m GMV; Reseller, Portugal; tenure 10 months.
- Momentum: Declining (Sep-Nov £11,150 -> Dec-Feb £5,876); Recently Active (last GMV month: February); 13 orders over 6 month(s).
- Dependency: High (broker reliance 69%; 9 AM-placed / 4 self-serve orders).
- Engagement: 1 product views, 1 app days, 0 offer(s), 40 Fleek chats, 0 video requests; basket Handpick-only.
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,4966e1678608
